Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Alerrandro (ATA),,976,16,434,-50,-28,6.0,5.0,2.0,,20.0,9.0,5.0,2.0,,,,,,1.0,,10.0,5.0,,,42.0,2020,27
Gilberto (ATA),,819,20,412,-160,-290,12.0,5.0,1.0,,30.0,19.0,20.0,1.0,,,,,4.0,1.0,,21.0,5.0,,,65.0,2020,27
Jean (GOL),,872,24,404,-100,-169,1.0,2.0,,6.0,8.0,1.0,1.0,,,1.0,,,1.0,,28.0,1.0,,,,206.0,2020,27
Filipe Luís (LAT),,746,18,404,0,0,57.0,2.0,2.0,4.0,21.0,1.0,2.0,1.0,,,1.0,,5.0,,,31.0,1.0,,,158.0,2020,27
Vinícius (ATA),,466,16,401,40,-6,18.0,3.0,2.0,,31.0,9.0,10.0,,,,,,2.0,,,26.0,1.0,,,50.0,2020,27
Carlos Eduardo (ATA),,856,19,399,1830,266,16.0,5.0,2.0,,26.0,7.0,4.0,,,,,,,,,14.0,2.0,,,54.0,2020,27
Dado Cavalcanti (TEC),,761,1,392,392,23,,,,,,,,,,,,,,,,,,,,,2020,27
Renato Gaúcho (TEC),,1224,25,392,162,-16,,,,,,,,,,,,,,,,,,,,,2020,27
Victor Luis (LAT),,938,18,390,80,35,51.0,2.0,1.0,3.0,16.0,4.0,5.0,,,,,1.0,1.0,1.0,,17.0,,,,143.0,2020,27
Diego Souza (ATA),,1184,16,389,0,0,8.0,7.0,1.0,,17.0,14.0,6.0,,,,,1.0,3.0,1.0,,20.0,1.0,,,81.0,2020,27
Fernando Diniz (TEC),,959,22,380,305,10,,,,,,,,,,,,,,,,,,,,,2020,27
Guto Ferreira (TEC),,922,26,379,239,-52,,,,,,,,,,,,,,,,,,,,,2020,27
Bruno Pacheco (LAT),,838,21,379,160,-107,56.0,,2.0,7.0,25.0,3.0,,,,,,1.0,1.0,,,28.0,,,,154.0,2020,27
Sabino (ZAG),,822,25,376,280,47,46.0,4.0,,6.0,22.0,5.0,,1.0,,,1.0,,2.0,1.0,,10.0,2.0,,,130.0,2020,27
Pedro Raul (ATA),,676,18,372,190,-263,7.0,5.0,1.0,,24.0,18.0,12.0,,,,,,1.0,,,26.0,3.0,,,94.0,2020,27
Douglas Friedrich (GOL),,1188,17,368,1960,400,,,,3.0,3.0,,,,,,,,,,23.0,,,,,78.0,2020,27
Léo Cittadini (MEI),,1231,22,367,250,-3,51.0,3.0,,,36.0,18.0,9.0,,,,,,4.0,,,42.0,1.0,,,80.0,2020,27
Kannemann (ZAG),,871,9,366,0,0,26.0,,,5.0,11.0,3.0,2.0,,,,,1.0,4.0,,,24.0,,,,34.0,2020,27
Tiago Volpi (GOL),,1201,22,365,-260,-93,1.0,,1.0,6.0,4.0,,,,,3.0,,,1.0,,21.0,,,,,145.0,2020,27
Samuel Xavier (LAT),,778,20,362,1000,109,40.0,1.0,3.0,7.0,30.0,5.0,1.0,,,,,1.0,4.0,,,26.0,1.0,,,193.0,2020,27
Juninho Capixaba (LAT),,761,15,360,170,-105,38.0,,2.0,3.0,20.0,5.0,3.0,,,,,,2.0,,,16.0,1.0,,,141.0,2020,27
Cléber (ATA),,1038,24,358,-220,-205,30.0,6.0,1.0,,24.0,19.0,11.0,1.0,,,,,1.0,,,55.0,9.0,,,69.0,2020,27
Tinga (LAT),,730,15,358,710,136,26.0,,2.0,6.0,9.0,3.0,3.0,1.0,,,,,1.0,,,10.0,1.0,,,182.0,2020,27
Shaylon (MEI),,470,11,356,830,107,17.0,1.0,2.0,,7.0,8.0,3.0,,,,,,,,,3.0,,,,78.0,2020,27
David Duarte (ZAG),,511,16,355,510,18,26.0,1.0,,6.0,4.0,6.0,4.0,1.0,,,,1.0,1.0,,,12.0,,,,89.0,2020,27
Rogério Ceni (TEC),,812,24,352,408,-40,,,,,,,,,,,,,,,,,,,,,2020,27
Isla (LAT),,891,17,349,310,-113,34.0,1.0,5.0,4.0,10.0,1.0,,,,,,,4.0,,,21.0,6.0,,,120.0,2020,27
Natan (ZAG),,478,10,342,400,66,18.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,3.0,,,9.0,,,,36.0,2020,27
Júnior Tavares (LAT),,494,10,342,70,-81,14.0,,,3.0,19.0,4.0,2.0,,,,,,,,,8.0,,,,59.0,2020,27
1234,1234.0,1234,1234,1234,1234,1234,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,2020,27
Thiago Galhardo (MEI),,1964,25,746,0,0,21.0,16.0,5.0,,40.0,23.0,16.0,,,,,1.0,3.0,1.0,,23.0,15.0,,,114.0,2020,28
Keno (ATA),,1418,23,711,0,0,35.0,10.0,5.0,,39.0,28.0,24.0,4.0,,,,,4.0,1.0,,29.0,21.0,,,220.0,2020,28
Pepê (ATA),,1419,22,654,230,18,30.0,8.0,4.0,,48.0,14.0,8.0,1.0,,,,,1.0,,,9.0,3.0,,,100.0,2020,28
Vina (MEI),,1042,20,635,240,25,11.0,8.0,6.0,,16.0,27.0,23.0,1.0,,,,,3.0,1.0,,16.0,4.0,,,181.0,2020,28
Arrascaeta (MEI),,1905,16,635,1630,214,24.0,5.0,4.0,,19.0,13.0,11.0,2.0,,,,,,,,11.0,,,,157.0,2020,28
Claudinho (ATA),,1627,24,566,1720,276,40.0,9.0,2.0,,35.0,23.0,20.0,,,,,,3.0,1.0,,22.0,4.0,,,229.0,2020,28
Juan Ramírez (ATA),,433,4,555,650,4,2.0,2.0,1.0,,10.0,4.0,1.0,,,,,,1.0,,,11.0,,,,27.0,2020,28
Gabriel (ATA),,1182,14,547,290,86,4.0,7.0,,,14.0,19.0,12.0,1.0,,,,1.0,2.0,,,4.0,9.0,,,74.0,2020,28
Raul (MEI),,1102,19,546,1690,230,78.0,2.0,2.0,,49.0,5.0,1.0,,,,,,1.0,,,32.0,1.0,,,114.0,2020,28
Brenner (ATA),,626,19,544,-100,-360,11.0,8.0,1.0,,30.0,14.0,13.0,1.0,,,,,4.0,,,15.0,5.0,,,33.0,2020,28
Bruno Henrique (ATA),,1245,20,534,140,-76,26.0,6.0,4.0,,52.0,18.0,12.0,3.0,,,,,8.0,1.0,,32.0,6.0,,,119.0,2020,28
Alisson (MEI),,1054,15,529,160,-31,19.0,1.0,4.0,,41.0,19.0,14.0,1.0,,,,,1.0,,,14.0,4.0,,,123.0,2020,28
Cano (ATA),,1316,22,524,400,58,10.0,11.0,,,17.0,12.0,14.0,1.0,,,,,,,,19.0,11.0,,,53.0,2020,28
Patrick (MEI),,1238,24,522,460,-14,61.0,4.0,2.0,,53.0,12.0,7.0,3.0,,,,,1.0,,,32.0,2.0,,,121.0,2020,28
Guilherme Arana (LAT),,1761,24,516,0,0,39.0,3.0,4.0,9.0,22.0,17.0,15.0,,,,,,3.0,,,30.0,1.0,,,256.0,2020,28
Viña (LAT),,981,17,516,0,0,55.0,,2.0,7.0,21.0,7.0,2.0,,,,,,3.0,,,22.0,2.0,,,126.0,2020,28
Reinaldo (LAT),,1373,21,496,340,-52,39.0,4.0,4.0,6.0,20.0,7.0,10.0,,,,,,3.0,,,24.0,,,,264.0,2020,28
Abel Ferreira (TEC),,1289,8,487,0,0,,,,,,,,,,,,,,,,,,,,,2020,28
Pereira (ZAG),,510,4,483,620,69,6.0,,,3.0,3.0,,,,,,,,1.0,,,1.0,,,,7.0,2020,28
Guga (LAT),,1388,21,477,0,0,50.0,1.0,1.0,9.0,25.0,6.0,2.0,1.0,,,,,1.0,,,24.0,,,,166.0,2020,28
Bruninho (ATA),,423,5,472,0,0,6.0,2.0,,,4.0,2.0,2.0,,,,,,,,,6.0,2.0,,,4.0,2020,28
Tadeu (GOL),,892,21,461,10,-209,1.0,,,7.0,8.0,,1.0,,,1.0,,,,,31.0,1.0,,,,210.0,2020,28
Everton Ribeiro (MEI),,955,22,458,720,37,33.0,6.0,2.0,,46.0,15.0,8.0,1.0,,,,,4.0,,,23.0,1.0,,,177.0,2020,28
Glauber Ramos (TEC),,565,6,458,215,-54,,,,,,,,,,,,,,,,,,,,,2020,28
Vanderson (LAT),,325,2,455,1160,247,6.0,1.0,,,1.0,,,,,,,,1.0,,,3.0,,,,19.0,2020,28
Jean (GOL),,1164,25,454,1650,292,1.0,2.0,,7.0,8.0,1.0,1.0,,,1.0,,,1.0,,28.0,1.0,,,,211.0,2020,28
Fernando Sobral (MEI),,1307,25,451,660,19,85.0,1.0,3.0,,41.0,17.0,10.0,1.0,,,,,2.0,,,43.0,6.0,,,157.0,2020,28
Jorge Sampaoli (TEC),,1473,24,449,0,0,,,,,,,,,,,,,,,,,,,,,2020,28
Diego Souza (ATA),,1100,17,426,1020,-84,10.0,8.0,1.0,,17.0,15.0,6.0,,,,,1.0,3.0,1.0,,20.0,1.0,,,87.0,2020,28
Vinícius (ATA),,594,17,424,800,128,19.0,3.0,3.0,,32.0,9.0,12.0,,,,,,2.0,,,26.0,2.0,,,54.0,2020,28
Alan Empereur (ZAG),,714,4,418,0,0,5.0,,,3.0,2.0,,,,,,,,1.0,,,3.0,,,,8.0,2020,28
Hyoran (MEI),,1342,17,418,0,0,18.0,4.0,2.0,,22.0,10.0,10.0,2.0,,,,,2.0,,,23.0,2.0,,,94.0,2020,28
Robson (ATA),,996,26,414,740,106,27.0,7.0,1.0,,47.0,27.0,12.0,4.0,,,,,5.0,,,45.0,14.0,,,120.0,2020,28
Carlos Eduardo (ATA),,669,20,408,570,-187,17.0,5.0,3.0,,27.0,8.0,4.0,,,,,,,,,17.0,2.0,,,55.0,2020,28
Raul Prata (LAT),,533,6,408,530,113,8.0,,,4.0,2.0,,1.0,,,,,,1.0,,,3.0,,,,22.0,2020,28
Léo Cittadini (MEI),,1362,23,398,1070,131,54.0,4.0,,,37.0,18.0,10.0,,,,,,4.0,,,44.0,2.0,,,85.0,2020,28
Rodrigo Moledo (ZAG),,754,17,396,660,8,25.0,1.0,,8.0,25.0,1.0,1.0,,,,,1.0,3.0,,,12.0,,,,30.0,2020,28
Léo Chú (ATA),,294,11,396,80,24,20.0,1.0,4.0,,10.0,7.0,2.0,,,,,,2.0,,,9.0,7.0,,,54.0,2020,28
Patrick de Paula (MEI),,620,18,394,0,0,40.0,2.0,1.0,,21.0,12.0,8.0,1.0,,,,,1.0,,,23.0,,,,93.0,2020,28
Pedro Raul (ATA),,774,19,393,780,98,8.0,5.0,1.0,,24.0,21.0,18.0,,,,,,1.0,,,30.0,4.0,,,97.0,2020,28
Renato Gaúcho (TEC),,1250,26,392,402,26,,,,,,,,,,,,,,,,,,,,,2020,28
Vargas (ATA),,900,4,390,0,0,2.0,1.0,1.0,,4.0,4.0,2.0,,,,,,1.0,,,1.0,5.0,,,20.0,2020,28
Filipe Luís (LAT),,654,19,390,140,-92,60.0,2.0,2.0,4.0,22.0,1.0,2.0,1.0,,,1.0,,5.0,,,32.0,1.0,,,174.0,2020,28
Moisés (LAT),,1124,17,388,920,40,42.0,,2.0,8.0,7.0,5.0,1.0,1.0,,,,,1.0,,,37.0,2.0,,,161.0,2020,28
Jean Pyerre (MEI),,1050,10,387,-50,-73,12.0,1.0,1.0,,7.0,15.0,3.0,1.0,,,,,,,,5.0,,,,59.0,2020,28
Sabino (ZAG),,869,26,384,580,47,50.0,4.0,,6.0,26.0,5.0,,1.0,,,1.0,,2.0,1.0,,10.0,2.0,,,132.0,2020,28
Werley (ZAG),,414,3,383,500,69,3.0,,,2.0,2.0,1.0,,,,,,,,,,4.0,,,,13.0,2020,28
Victor Luis (LAT),,949,19,381,220,11,52.0,2.0,1.0,3.0,19.0,4.0,6.0,,,,,1.0,1.0,1.0,,18.0,,,,153.0,2020,28
Vinícius Balieiro (MEI),,476,4,380,0,0,11.0,,1.0,,6.0,,,,,,,,,,,6.0,,,,8.0,2020,28
Diogo Barbosa (LAT),,971,18,378,1160,68,39.0,,3.0,4.0,15.0,6.0,1.0,,,,,,1.0,,,11.0,1.0,,,113.0,2020,28
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,28
Marinho (ATA),,2577,22,1034,0,0,22.0,15.0,6.0,,100.0,30.0,20.0,1.0,,,,,4.0,,,31.0,18.0,,,130.0,2020,29
Keno (ATA),,1319,24,686,100,-99,36.0,10.0,5.0,,42.0,29.0,24.0,4.0,,,,,4.0,1.0,,29.0,22.0,,,238.0,2020,29
Vina (MEI),,1158,21,651,970,116,11.0,9.0,6.0,,19.0,28.0,23.0,1.0,,,,,3.0,1.0,,16.0,4.0,,,187.0,2020,29
Arrascaeta (MEI),,1701,17,622,410,-204,26.0,5.0,4.0,,20.0,14.0,13.0,2.0,,,,,,,,11.0,,,,173.0,2020,29
Claudinho (ATA),,1415,25,560,410,-212,41.0,9.0,3.0,,36.0,24.0,20.0,,,,,,4.0,1.0,,23.0,4.0,,,236.0,2020,29
Brenner (ATA),,714,20,541,480,88,12.0,8.0,1.0,,31.0,16.0,15.0,1.0,,,,,4.0,,,16.0,5.0,,,35.0,2020,29
Guilherme Arana (LAT),,1731,25,535,980,-30,43.0,3.0,5.0,9.0,24.0,17.0,16.0,,,,,,3.0,,,31.0,1.0,,,265.0,2020,29
Cano (ATA),,1366,23,534,760,50,11.0,11.0,1.0,,17.0,13.0,16.0,1.0,,,,,,,,22.0,11.0,,,54.0,2020,29
Raul (MEI),,883,20,533,290,-219,81.0,2.0,2.0,,50.0,6.0,1.0,,,,,,1.0,,,34.0,1.0,,,118.0,2020,29
Calegari (LAT),,485,12,525,0,0,52.0,,,2.0,31.0,3.0,2.0,,,,,,1.0,,,14.0,1.0,,,98.0,2020,29
Bruno Henrique (ATA),,1230,21,516,160,-15,28.0,6.0,4.0,,55.0,18.0,12.0,3.0,,,,,8.0,1.0,,34.0,7.0,,,123.0,2020,29
Patrick (MEI),,1193,25,512,260,-45,62.0,4.0,2.0,,55.0,13.0,7.0,3.0,,,,,1.0,,,32.0,2.0,,,123.0,2020,29
Pereira (ZAG),,528,5,500,570,18,6.0,1.0,,3.0,3.0,1.0,,,,,,,2.0,,,3.0,,,,8.0,2020,29
Reinaldo (LAT),,1335,22,483,210,-38,41.0,4.0,4.0,6.0,23.0,8.0,10.0,,,,,,3.0,,,25.0,,,,281.0,2020,29
Renato Kayzer (ATA),,834,22,471,0,0,14.0,9.0,1.0,,34.0,18.0,15.0,2.0,,,,,3.0,,,41.0,16.0,,,79.0,2020,29
Guga (LAT),,1282,22,464,200,-106,53.0,1.0,1.0,9.0,27.0,6.0,2.0,1.0,,,,,1.0,,,26.0,,,,176.0,2020,29
Fernando Sobral (MEI),,1308,26,461,700,1,93.0,1.0,3.0,,41.0,17.0,10.0,1.0,,,,,2.0,,,45.0,6.0,,,157.0,2020,29
Hyoran (MEI),,1265,18,457,1120,-77,20.0,5.0,2.0,,24.0,12.0,10.0,2.0,,,,,2.0,,,24.0,2.0,,,103.0,2020,29
Jean (GOL),,989,26,456,510,-175,1.0,2.0,,7.0,8.0,1.0,1.0,,,1.0,,,1.0,,29.0,1.0,,,,220.0,2020,29
Jorge Sampaoli (TEC),,1378,25,448,413,-95,,,,,,,,,,,,,,,,,,,,,2020,29
Everton Ribeiro (MEI),,870,23,448,220,-85,34.0,6.0,2.0,,48.0,16.0,8.0,1.0,,,,,4.0,,,23.0,1.0,,,183.0,2020,29
Léo Chú (ATA),,454,12,447,1010,160,25.0,1.0,5.0,,12.0,7.0,2.0,,,,,,2.0,,,10.0,7.0,,,58.0,2020,29
Tadeu (GOL),,899,22,446,140,7,1.0,,,7.0,9.0,,1.0,,,1.0,,,,,32.0,1.0,,,,221.0,2020,29
Gustavo Morínigo (TEC),,727,1,445,445,46,,,,,,,,,,,,,,,,,,,,,2020,29
Felipe Jonatan (LAT),,1193,25,428,0,0,82.0,2.0,1.0,4.0,28.0,15.0,4.0,,,,,,6.0,,,27.0,1.0,,,205.0,2020,29
Glauber Ramos (TEC),,562,7,424,221,-3,,,,,,,,,,,,,,,,,,,,,2020,29
Werley (ZAG),,415,4,405,470,1,3.0,,,3.0,2.0,1.0,,,,,,,,,,4.0,,,,16.0,2020,29
Rodrigo Moledo (ZAG),,737,18,404,540,-17,26.0,1.0,,9.0,25.0,1.0,1.0,,,,,1.0,3.0,,,13.0,,,,31.0,2020,29
Moisés (LAT),,1062,18,396,540,-62,42.0,,2.0,9.0,8.0,6.0,2.0,1.0,,,,,1.0,,,38.0,2.0,,,177.0,2020,29
Sabino (ZAG),,886,27,395,680,17,52.0,4.0,,7.0,26.0,5.0,,1.0,,,1.0,,2.0,1.0,,10.0,2.0,,,134.0,2020,29
Vargas (ATA),,904,5,392,400,4,3.0,1.0,1.0,,6.0,4.0,2.0,1.0,,,,,1.0,,,2.0,5.0,,,25.0,2020,29
Talles Magno (ATA),,1177,22,390,1460,229,33.0,3.0,2.0,,54.0,14.0,6.0,2.0,,,,1.0,3.0,,,20.0,4.0,,,94.0,2020,29
Carlos Eduardo (ATA),,575,21,389,10,-94,18.0,5.0,3.0,,27.0,8.0,4.0,,,,,,,,,18.0,2.0,,,59.0,2020,29
Guto Ferreira (TEC),,1003,28,385,833,118,,,,,,,,,,,,,,,,,,,,,2020,29
Léo Cittadini (MEI),,1170,24,379,-50,-192,56.0,4.0,,,39.0,18.0,10.0,,,,,,5.0,,,46.0,2.0,,,90.0,2020,29
Pedro Raul (ATA),,650,20,375,30,-124,8.0,5.0,1.0,,24.0,21.0,19.0,,,,,,1.0,,,31.0,4.0,,,101.0,2020,29
Abel Braga (TEC),,1106,9,373,601,1,,,,,,,,,,,,,,,,,,,,,2020,29
Vanderlei Luxemburgo (TEC),,1084,16,373,901,61,,,,,,,,,,,,,,,,,,,,,2020,29
Victor Luis (LAT),,934,20,372,200,-15,55.0,2.0,1.0,3.0,20.0,4.0,6.0,,,,,1.0,1.0,1.0,,18.0,,,,168.0,2020,29
Filipe Luís (LAT),,618,20,370,-20,-36,61.0,2.0,2.0,4.0,22.0,1.0,2.0,1.0,,,1.0,,5.0,,,32.0,1.0,,,186.0,2020,29
Fernando Diniz (TEC),,919,24,366,178,-22,,,,,,,,,,,,,,,,,,,,,2020,29
Cuca (TEC),,1113,28,365,541,0,,,,,,,,,,,,,,,,,,,,,2020,29
Artur (ATA),,1322,24,364,0,0,31.0,1.0,4.0,,48.0,28.0,14.0,2.0,,,,,2.0,1.0,,18.0,5.0,,,214.0,2020,29
Bruno Pacheco (LAT),,854,23,361,400,66,58.0,,2.0,8.0,27.0,3.0,,,,,,1.0,2.0,,,29.0,,,,176.0,2020,29
Tinga (LAT),,730,15,358,0,0,26.0,,2.0,6.0,9.0,3.0,3.0,1.0,,,,,1.0,,,10.0,1.0,,,182.0,2020,29
Savarino (ATA),,733,20,358,920,154,8.0,4.0,4.0,,21.0,18.0,6.0,3.0,,,,,2.0,,,17.0,7.0,,,136.0,2020,29
Tiago Volpi (GOL),,1234,24,355,160,-44,1.0,,1.0,6.0,4.0,,,,,3.0,,,1.0,,26.0,,,,,156.0,2020,29
Isla (LAT),,901,19,354,440,10,42.0,1.0,5.0,4.0,12.0,2.0,,,,,,,4.0,,,23.0,6.0,,,129.0,2020,29
Júnior Alonso (ZAG),,1001,20,346,220,-147,39.0,,2.0,8.0,2.0,11.0,4.0,1.0,,,,,5.0,,,29.0,,,,130.0,2020,29
Rogério Ceni (TEC),,766,26,346,182,-36,,,,,,,,,,,,,,,,,,,,,2020,29
1234,1234.0,1234,1234,1234,1234,1234,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,2020,29
Marinho (ATA),,2571,23,1042,1220,-6,22.0,15.0,6.0,,106.0,30.0,24.0,3.0,,,,,4.0,,,31.0,19.0,,,141.0,2020,30
Keno (ATA),,1406,25,676,440,87,40.0,10.0,5.0,,43.0,29.0,26.0,4.0,,,,,4.0,1.0,,32.0,22.0,,,248.0,2020,30
Arrascaeta (MEI),,1888,18,655,1220,187,29.0,6.0,4.0,,24.0,15.0,13.0,2.0,,,,,,,,12.0,,,,184.0,2020,30
Pepê (ATA),,1381,23,631,0,0,31.0,8.0,4.0,,48.0,15.0,8.0,1.0,,,,,1.0,,,9.0,4.0,,,101.0,2020,30
Vina (MEI),,1026,22,620,-30,-132,11.0,9.0,6.0,,20.0,28.0,23.0,1.0,,,,,3.0,1.0,,16.0,4.0,,,195.0,2020,30
Claudinho (ATA),,1683,26,604,1700,268,42.0,11.0,3.0,,37.0,25.0,20.0,,,,,,4.0,1.0,,24.0,4.0,,,244.0,2020,30
Kuscevic (ZAG),,673,3,580,0,0,6.0,,,2.0,4.0,,1.0,1.0,,,,,1.0,,,4.0,,,,8.0,2020,30
Gabriel (ATA),,1296,16,542,860,150,5.0,8.0,,,16.0,19.0,14.0,1.0,,,,1.0,2.0,,,4.0,12.0,,,81.0,2020,30
Calegari (LAT),,637,13,542,740,152,53.0,,,3.0,35.0,4.0,2.0,,,,,,1.0,,,16.0,1.0,,,102.0,2020,30
Raul (MEI),,962,21,536,600,79,87.0,2.0,2.0,,53.0,6.0,1.0,,,,,,1.0,,,36.0,1.0,,,123.0,2020,30
Gustavo Morínigo (TEC),,877,2,533,622,150,,,,,,,,,,,,,,,,,,,,,2020,30
Cano (ATA),,1344,24,528,380,-22,11.0,11.0,1.0,,17.0,15.0,18.0,1.0,,,,,,,,22.0,11.0,,,56.0,2020,30
Guilherme Arana (LAT),,1679,26,528,360,-52,43.0,3.0,6.0,9.0,26.0,17.0,16.0,,,,,,3.0,,,33.0,1.0,,,279.0,2020,30
Patrick (MEI),,1318,26,523,800,125,65.0,4.0,3.0,,57.0,13.0,7.0,3.0,,,,,1.0,,,33.0,2.0,,,128.0,2020,30
Raphael Veiga (MEI),,911,18,523,0,0,17.0,8.0,1.0,,26.0,12.0,7.0,,,,,,2.0,,,18.0,1.0,,,93.0,2020,30
Bruno Henrique (ATA),,1337,22,520,610,107,28.0,6.0,5.0,,56.0,19.0,12.0,3.0,,,,,8.0,1.0,,34.0,7.0,,,125.0,2020,30
Brenner (ATA),,668,21,519,80,-46,12.0,8.0,1.0,,31.0,17.0,16.0,1.0,,,,,4.0,,,17.0,6.0,,,37.0,2020,30
Fábio Santos (LAT),,717,11,518,0,0,21.0,1.0,,7.0,5.0,2.0,,,,,,,,,,9.0,,,,67.0,2020,30
Viña (LAT),,981,17,516,0,0,55.0,,2.0,7.0,21.0,7.0,2.0,,,,,,3.0,,,22.0,2.0,,,126.0,2020,30
Alisson (MEI),,1034,16,504,0,0,20.0,1.0,4.0,,45.0,19.0,14.0,1.0,,,,,1.0,,,15.0,4.0,,,135.0,2020,30
Abel Ferreira (TEC),,1286,9,504,0,0,,,,,,,,,,,,,,,,,,,,,2020,30
Hyoran (MEI),,1346,19,500,1280,81,23.0,6.0,2.0,,26.0,15.0,10.0,2.0,,,,,2.0,,,25.0,2.0,,,114.0,2020,30
Renato Kayzer (ATA),,885,23,492,960,51,15.0,10.0,1.0,,36.0,19.0,15.0,2.0,,,,,3.0,,,43.0,16.0,,,81.0,2020,30
Vargas (ATA),,1052,6,485,950,148,5.0,1.0,1.0,,8.0,7.0,3.0,2.0,,,,,1.0,,,2.0,5.0,,,26.0,2020,30
Reinaldo (LAT),,1408,23,482,450,73,45.0,4.0,4.0,6.0,25.0,9.0,10.0,,,,,,3.0,,,26.0,,,,289.0,2020,30
Juan Ramírez (ATA),,366,5,476,0,0,2.0,2.0,1.0,,14.0,5.0,1.0,,,,,,1.0,,,12.0,,,,34.0,2020,30
Jemerson (ZAG),,654,1,470,0,0,1.0,,,1.0,,,,,,,,,,,,2.0,,,,3.0,2020,30
Jean (GOL),,1024,27,459,530,35,1.0,2.0,,7.0,8.0,1.0,1.0,,,1.0,,,1.0,,32.0,1.0,,,,227.0,2020,30
Fernando Sobral (MEI),,1292,27,458,370,-16,95.0,1.0,3.0,,43.0,19.0,10.0,1.0,,,,,2.0,,,46.0,6.0,,,161.0,2020,30
Jorge Sampaoli (TEC),,1423,26,449,463,45,,,,,,,,,,,,,,,,,,,,,2020,30
Luiz Adriano (ATA),,1144,17,446,0,0,10.0,8.0,1.0,,15.0,6.0,5.0,,,,,,2.0,1.0,,17.0,1.0,,,44.0,2020,30
Guga (LAT),,1266,23,442,-50,-16,56.0,1.0,1.0,9.0,28.0,6.0,2.0,1.0,,,,,2.0,,,28.0,,,,186.0,2020,30
Everton Ribeiro (MEI),,892,24,439,220,22,35.0,6.0,2.0,,50.0,16.0,9.0,1.0,,,,,4.0,,,24.0,1.0,,,188.0,2020,30
Léo Chú (ATA),,364,13,436,310,-90,26.0,1.0,5.0,,13.0,7.0,4.0,,,,,,2.0,,,11.0,7.0,,,61.0,2020,30
Pereira (ZAG),,469,6,432,90,-59,7.0,1.0,,3.0,4.0,1.0,,,,,,,2.0,,,4.0,,,,9.0,2020,30
Felipe Jonatan (LAT),,1205,26,427,410,12,86.0,2.0,1.0,4.0,31.0,15.0,4.0,,,,,,6.0,,,28.0,1.0,,,214.0,2020,30
Diego Souza (ATA),,1100,17,426,0,0,10.0,8.0,1.0,,17.0,15.0,6.0,,,,,1.0,3.0,1.0,,20.0,1.0,,,87.0,2020,30
Yuri Alberto (ATA),,500,15,414,1000,2,6.0,7.0,,,13.0,8.0,10.0,,,,,,3.0,,,28.0,3.0,,,32.0,2020,30
Pedro Raul (ATA),,868,21,413,1180,218,10.0,6.0,1.0,,25.0,21.0,21.0,,,,,,1.0,,,33.0,4.0,,,102.0,2020,30
Robson (ATA),,916,27,409,0,0,29.0,7.0,1.0,,48.0,28.0,13.0,5.0,,,,,6.0,,,49.0,14.0,,,128.0,2020,30
Tadeu (GOL),,793,23,402,-570,-106,1.0,,,7.0,9.0,,1.0,,,1.0,,,1.0,,35.0,2.0,,,,233.0,2020,30
Moisés (LAT),,1087,19,401,490,25,44.0,,3.0,9.0,8.0,6.0,2.0,1.0,,,,,1.0,,,40.0,2.0,,,188.0,2020,30
Carlos Eduardo (ATA),,700,22,401,650,125,22.0,5.0,4.0,,28.0,8.0,4.0,,,,,,1.0,,,19.0,2.0,,,64.0,2020,30
Renato Gaúcho (TEC),,1248,27,394,0,0,,,,,,,,,,,,,,,,,,,,,2020,30
Cazares (MEI),,1066,9,390,0,0,7.0,1.0,3.0,,4.0,6.0,1.0,2.0,,,,,1.0,,,5.0,,,,45.0,2020,30
Talles Magno (ATA),,1034,23,387,320,-143,36.0,3.0,2.0,,55.0,14.0,6.0,2.0,,,,1.0,3.0,,,20.0,4.0,,,97.0,2020,30
Jean Pyerre (MEI),,1050,10,387,0,0,12.0,1.0,1.0,,7.0,15.0,3.0,1.0,,,,,,,,5.0,,,,59.0,2020,30
Vinícius (ATA),,472,19,387,-30,-22,20.0,3.0,3.0,,34.0,10.0,12.0,,,,,,2.0,,,27.0,3.0,,,58.0,2020,30
Guto Ferreira (TEC),,945,29,382,284,-58,,,,,,,,,,,,,,,,,,,,,2020,30
Júnior Alonso (ZAG),,1184,21,382,1110,183,41.0,1.0,2.0,8.0,2.0,11.0,5.0,1.0,,,,,5.0,,,29.0,,,,131.0,2020,30
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,30
