Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Guilherme Arana (LAT),,1636,18,476,130,-65,29.0,2.0,2.0,6.0,15.0,14.0,13.0,,,,,,1.0,,,22.0,1.0,,,203.0,2020,19
Luiz Adriano (ATA),,1240,14,462,850,-39,9.0,6.0,1.0,,15.0,6.0,3.0,,,,,,1.0,,,15.0,1.0,,,31.0,2020,19
Nathan (MEI),,1026,11,462,170,28,15.0,3.0,1.0,,6.0,5.0,6.0,,,,,,,,,6.0,2.0,,,33.0,2020,19
Wesley (ATA),,673,13,459,1340,59,16.0,2.0,2.0,,22.0,11.0,9.0,2.0,,,,,2.0,,,16.0,4.0,,,49.0,2020,19
Marllon (ZAG),,593,3,457,470,54,3.0,,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,5.0,2020,19
Pedro (ATA),,617,15,457,590,-64,4.0,7.0,,,14.0,8.0,12.0,,,,,,1.0,1.0,,16.0,4.0,,,31.0,2020,19
Renato Kayzer (ATA),,643,13,456,90,-29,9.0,5.0,,,22.0,14.0,11.0,,,,,,2.0,,,24.0,9.0,,,46.0,2020,19
Tiago Volpi (GOL),,1580,15,449,1840,270,1.0,,1.0,5.0,2.0,,,,,3.0,,,1.0,,14.0,,,,,115.0,2020,19
Matheus Babi (ATA),,949,16,443,930,152,22.0,5.0,1.0,,41.0,9.0,7.0,2.0,,,,,4.0,,,40.0,6.0,,,72.0,2020,19
Jorge Sampaoli (TEC),,1380,18,436,132,-37,,,,,,,,,,,,,,,,,,,,,2020,19
Natan (ZAG),,427,5,436,130,-23,9.0,1.0,1.0,1.0,2.0,,1.0,,,,,,2.0,,,3.0,,,,19.0,2020,19
Léo Chú (ATA),,300,4,430,510,22,9.0,,2.0,,5.0,5.0,,,,,,,1.0,,,5.0,2.0,,,28.0,2020,19
Raphael Veiga (MEI),,997,11,429,1170,263,9.0,4.0,,,20.0,9.0,3.0,,,,,,1.0,,,13.0,,,,61.0,2020,19
Dodi (MEI),,1137,17,426,0,0,60.0,1.0,,,30.0,8.0,4.0,,,,,,3.0,,,21.0,,,,51.0,2020,19
Lucas Evangelista (MEI),,549,11,413,420,17,19.0,2.0,1.0,,17.0,6.0,3.0,1.0,,,,,2.0,,,15.0,,,,30.0,2020,19
Xavier (MEI),,164,3,413,220,65,11.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,6.0,,,,11.0,2020,19
Madson (LAT),,682,14,411,570,45,11.0,4.0,3.0,2.0,10.0,,2.0,,,,,,2.0,,,6.0,2.0,,,98.0,2020,19
João Paulo (GOL),,899,17,410,740,6,,,,3.0,2.0,,,,,,,,2.0,,20.0,,,,,102.0,2020,19
Gilberto (ATA),,889,14,405,410,-154,10.0,3.0,1.0,,17.0,13.0,16.0,1.0,,,,,2.0,1.0,,14.0,5.0,,,58.0,2020,19
Bruno Pacheco (LAT),,846,14,404,240,-25,37.0,,2.0,5.0,19.0,1.0,,,,,,1.0,,,,19.0,,,,111.0,2020,19
David Braz (ZAG),,1042,14,398,1250,196,32.0,2.0,,3.0,6.0,5.0,2.0,,,,,1.0,,,,11.0,,,,61.0,2020,19
Domènec Torrent (TEC),,927,17,393,155,-35,,,,,,,,,,,,,,,,,,,,,2020,19
Eduardo Coudet (TEC),,1228,19,389,61,-29,,,,,,,,,,,,,,,,,,,,,2020,19
Fernando Diniz (TEC),,998,15,388,627,87,,,,,,,,,,,,,,,,,,,,,2020,19
Fábio Santos (LAT),,655,6,382,650,43,6.0,,,4.0,,,,,,,,,,,,3.0,,,,16.0,2020,19
Otero (MEI),,1130,8,380,320,57,10.0,,1.0,,24.0,7.0,9.0,2.0,,,,,4.0,,,9.0,1.0,,,60.0,2020,19
Sabino (ZAG),,891,18,380,880,158,26.0,3.0,,5.0,16.0,4.0,,1.0,,,1.0,,1.0,,,7.0,1.0,,,98.0,2020,19
Cuca (TEC),,1132,19,371,506,57,,,,,,,,,,,,,,,,,,,,,2020,19
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,19
Marinho (ATA),,2616,16,1104,0,0,17.0,12.0,5.0,,78.0,21.0,11.0,1.0,,,,,3.0,,,24.0,13.0,,,91.0,2020,20
Thiago Galhardo (MEI),,1821,18,932,0,0,15.0,15.0,5.0,,28.0,16.0,8.0,,,,,1.0,1.0,,,16.0,10.0,,,87.0,2020,20
Pepê (ATA),,1511,15,743,740,88,24.0,6.0,3.0,,37.0,10.0,7.0,,,,,,,,,7.0,2.0,,,59.0,2020,20
Keno (ATA),,1442,18,713,870,63,23.0,9.0,2.0,,22.0,22.0,21.0,4.0,,,,,3.0,,,23.0,16.0,,,170.0,2020,20
Giovanni Augusto (MEI),,1021,14,631,1700,209,29.0,3.0,4.0,,36.0,4.0,3.0,1.0,,,,,,,,8.0,1.0,,,79.0,2020,20
Gabriel (ATA),,1194,10,625,-10,-152,4.0,5.0,,,10.0,15.0,11.0,1.0,,,,,2.0,,,3.0,7.0,,,56.0,2020,20
Brenner (ATA),,785,12,589,1270,68,6.0,6.0,1.0,,17.0,10.0,5.0,1.0,,,,,2.0,,,10.0,5.0,,,23.0,2020,20
Reinaldo (LAT),,1363,14,559,40,-163,31.0,4.0,1.0,5.0,13.0,4.0,8.0,,,,,,3.0,,,20.0,,,,182.0,2020,20
Robson (ATA),,988,19,547,220,48,25.0,6.0,1.0,,40.0,24.0,10.0,4.0,,,,,3.0,,,32.0,11.0,,,96.0,2020,20
Raul (MEI),,895,12,538,640,-51,50.0,1.0,1.0,,35.0,2.0,1.0,,,,,,,,,21.0,1.0,,,77.0,2020,20
Renato Kayzer (ATA),,911,14,533,1540,268,10.0,6.0,1.0,,24.0,14.0,13.0,,,,,,2.0,,,26.0,10.0,,,51.0,2020,20
Claudinho (ATA),,1379,17,532,0,0,29.0,7.0,1.0,,28.0,14.0,10.0,,,,,,3.0,1.0,,17.0,4.0,,,163.0,2020,20
Guga (LAT),,1472,17,519,880,84,44.0,1.0,1.0,7.0,20.0,6.0,2.0,1.0,,,,,1.0,,,18.0,,,,130.0,2020,20
Patrick (MEI),,1271,18,514,730,75,45.0,3.0,2.0,,33.0,8.0,6.0,3.0,,,,,1.0,,,27.0,2.0,,,89.0,2020,20
Orejuela (LAT),,1028,15,508,740,-60,45.0,1.0,,6.0,21.0,6.0,3.0,1.0,,,,,1.0,,,22.0,1.0,,,152.0,2020,20
Fernando Sobral (MEI),,1304,18,499,420,48,56.0,1.0,3.0,,36.0,15.0,9.0,1.0,,,,,2.0,,,30.0,6.0,,,108.0,2020,20
Guilherme Arana (LAT),,1732,19,490,740,96,29.0,2.0,3.0,7.0,16.0,14.0,13.0,,,,,,2.0,,,24.0,1.0,,,204.0,2020,20
Victor Luis (LAT),,995,13,489,180,57,40.0,2.0,,3.0,13.0,3.0,3.0,,,,,,,1.0,,10.0,,,,108.0,2020,20
Vinícius (ATA),,545,13,476,440,63,17.0,3.0,2.0,,29.0,7.0,9.0,,,,,,2.0,,,23.0,,,,46.0,2020,20
Davó (ATA),,195,2,470,20,-139,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,,4.0,2.0,,,8.0,2020,20
Felipe Jonatan (LAT),,1205,19,468,260,-11,67.0,2.0,1.0,3.0,23.0,11.0,3.0,,,,,,5.0,,,24.0,,,,158.0,2020,20
Cano (ATA),,1249,16,463,200,-31,7.0,7.0,,,9.0,8.0,11.0,1.0,,,,,,,,18.0,7.0,,,33.0,2020,20
Luciano (ATA),,825,14,458,220,-96,20.0,5.0,1.0,,24.0,8.0,2.0,1.0,,,,,3.0,,,20.0,3.0,,,72.0,2020,20
Luiz Adriano (ATA),,1167,15,457,380,-73,10.0,7.0,1.0,,15.0,6.0,3.0,,,,,,1.0,1.0,,16.0,1.0,,,38.0,2020,20
Jorge Sampaoli (TEC),,1499,19,457,844,119,,,,,,,,,,,,,,,,,,,,,2020,20
Natan (ZAG),,522,6,457,560,95,14.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,2.0,,,4.0,,,,24.0,2020,20
Abel Ferreira (TEC),,1123,1,451,451,-35,,,,,,,,,,,,,,,,,,,,,2020,20
