Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Cleiton (GOL),Atlético-MG,1.72,13.0,1.53,-3.8,-0.67,,,,2.0,3.0,,,,12.0,1.0,,,1.0,,15.0,,,,26,2019,,9.0
Quintero (ZAG),Fortaleza,3.28,25.0,1.46,0.5,-0.28,,1.0,,5.0,8.0,2.0,1.0,,,,,,3.0,,,17.0,,,26,2019,15.0,38.0
Éderson (MEI),Cruzeiro,2.02,10.0,1.45,0.2,-0.34,,,,,16.0,3.0,3.0,1.0,,,,,2.0,,,17.0,1.0,,26,2019,11.0,20.0
Pedro Ken (MEI),Ceará,3.93,10.0,1.45,7.3,1.74,,,,,13.0,1.0,,,,,,,2.0,,,10.0,,,26,2019,12.0,6.0
Luiz Fernando (MEI),Botafogo,4.57,23.0,1.38,4.0,0.6,,1.0,,,33.0,13.0,4.0,1.0,,,,,3.0,,,24.0,4.0,,26,2019,12.0,30.0
Leonardo Valencia (MEI),Botafogo,3.73,12.0,1.34,1.0,0.14,,1.0,1.0,,5.0,7.0,2.0,,,,,,2.0,,,4.0,1.0,,26,2019,3.0,18.0
Dawhan (MEI),CSA,5.56,21.0,1.29,-1.3,-0.46,,,,,9.0,6.0,,,,,,,4.0,,,21.0,,,26,2019,29.0,24.0
Amaral (MEI),Chapecoense,2.84,7.0,1.27,0.3,-0.09,,,,,2.0,2.0,,,,,,,,,,6.0,,,26,2019,7.0,4.0
Cristovam (LAT),Ceará,2.34,4.0,1.25,0.0,0.0,,,,,6.0,1.0,,,,,,,2.0,,,7.0,,,26,2019,8.0,11.0
Paulinho (LAT),Avaí,2.21,5.0,1.22,2.7,0.28,,,,,7.0,2.0,,,,,,,,,,7.0,,,26,2019,5.0,10.0
Alecsandro (ATA),CSA,5.27,14.0,1.2,8.4,1.72,,2.0,,,6.0,9.0,6.0,,,,,,1.0,1.0,,19.0,5.0,,26,2019,4.0,15.0
Diego Pituca (MEI),Santos,3.05,24.0,1.18,-0.3,0.17,,1.0,,,23.0,11.0,10.0,2.0,,,,,7.0,,,50.0,,,26,2019,26.0,61.0
João Carlos (GOL),CSA,1.6,4.0,0.93,5.0,0.83,,,,1.0,1.0,,,,4.0,,,1.0,,,4.0,1.0,,,26,2019,,1.0
Mosquera (MEI),Avaí,2.43,11.0,0.89,0.5,0.19,,,,,14.0,3.0,,,,,,,2.0,,,8.0,,,26,2019,8.0,12.0
Luan (MEI),São Paulo,3.04,16.0,0.84,0.5,0.03,,,,,6.0,3.0,1.0,,,,,,2.0,,,27.0,,,26,2019,21.0,24.0
Elicarlos (MEI),Chapecoense,4.17,13.0,0.78,-0.2,-0.19,,,,,16.0,8.0,2.0,,,,,,5.0,,,18.0,,,26,2019,12.0,19.0
Rafael Pereira (ZAG),Chapecoense,3.41,10.0,0.74,0.0,0.0,,1.0,,,3.0,,,,,,,,3.0,,,2.0,,,26,2019,6.0,14.0
Papagaio (ATA),Goiás,1.43,7.0,0.7,0.0,0.0,,,,,3.0,2.0,1.0,,,,,,,,,6.0,,,26,2019,3.0,3.0
Felipe Baxola (MEI),Ceará,4.41,12.0,0.64,5.1,0.88,,,1.0,,2.0,3.0,3.0,,,,,,1.0,,,8.0,,,26,2019,4.0,14.0
Vinícius Araújo (ATA),Avaí,1.75,3.0,0.63,1.2,0.07,,,,,4.0,,2.0,,,,,,,,,2.0,3.0,,26,2019,1.0,5.0
Robinho (MEI),Cruzeiro,5.34,19.0,0.6,-1.1,0.08,,1.0,1.0,,21.0,12.0,4.0,,,,,,6.0,,,29.0,,,26,2019,17.0,85.0
