Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Víctor Cuesta (ZAG),Internacional,10.59,10.0,2.87,0.0,0.0,14.0,,,6.0,9.0,,1.0,,,,,,3.0,,,16.0,,70.0,11,2020,,
Gabriel Menino (MEI),Palmeiras,4.93,10.0,2.86,-3.1,-1.14,19.0,,2.0,,20.0,9.0,1.0,,,,,,2.0,,,12.0,4.0,68.0,11,2020,,
Diego Pituca (MEI),Santos,7.91,11.0,2.85,3.2,0.03,29.0,,,,16.0,2.0,3.0,,,,,,1.0,,,7.0,1.0,48.0,11,2020,,
Samuel Xavier (LAT),Ceará,6.3,10.0,2.8,5.4,0.17,21.0,,1.0,4.0,17.0,1.0,1.0,,,,,1.0,2.0,,,18.0,,105.0,11,2020,,
Henrique (LAT),Vasco,7.53,8.0,2.79,0.0,0.0,23.0,,,3.0,7.0,,1.0,,,,,,3.0,,,19.0,1.0,44.0,11,2020,,
Rodrigo Caio (ZAG),Flamengo,8.92,9.0,2.78,0.0,0.0,18.0,,,2.0,3.0,3.0,1.0,,,,,,1.0,,,9.0,,16.0,11,2020,,
Pablo (ATA),São Paulo,8.36,6.0,2.77,0.0,0.0,3.0,1.0,,,9.0,15.0,3.0,,,,,,1.0,,,16.0,6.0,15.0,11,2020,,
Bruno Tubarão (MEI),Bragantino,5.71,9.0,2.76,19.6,3.83,13.0,1.0,1.0,,3.0,3.0,1.0,1.0,,,,,1.0,,,8.0,1.0,27.0,11,2020,,
Tiago Volpi (GOL),São Paulo,12.83,9.0,2.73,0.0,0.0,1.0,,,2.0,1.0,,,,9.0,1.0,,,,,11.0,,,79.0,11,2020,,
Jonathan (LAT),Athlético-PR,9.85,5.0,2.72,0.0,0.0,3.0,,1.0,2.0,2.0,,,,,,,,1.0,,,2.0,,24.0,11,2020,,
Darlan (MEI),Grêmio,4.72,6.0,2.72,0.4,-0.63,12.0,1.0,,,3.0,2.0,,,,,,,1.0,,,7.0,,13.0,11,2020,,
Fabinho (ATA),Athlético-PR,3.36,4.0,2.62,0.0,0.0,3.0,1.0,,,4.0,1.0,1.0,,,,,,,,,3.0,,30.0,11,2020,,
Gilberto (ATA),Bahia,7.22,8.0,2.61,0.0,0.0,6.0,,1.0,,11.0,6.0,8.0,1.0,,,,,,1.0,,6.0,4.0,40.0,11,2020,,
Paulo Miranda (ZAG),Grêmio,2.64,2.0,2.55,0.0,-0.81,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,14.0,11,2020,,
Marcos Rocha (LAT),Palmeiras,8.12,6.0,2.52,5.4,0.8,16.0,,,1.0,6.0,1.0,,,,,,,,,,9.0,,52.0,11,2020,,
Juninho (ZAG),Bahia,7.93,9.0,2.5,0.0,0.0,15.0,1.0,,1.0,4.0,1.0,1.0,,,,,1.0,,,,2.0,1.0,30.0,11,2020,,
Chico (ATA),Atlético-GO,3.51,8.0,2.48,0.5,0.23,7.0,,2.0,,9.0,4.0,2.0,1.0,,,,,1.0,,,9.0,,38.0,11,2020,,
Eduardo Barros (TEC),Athlético-PR,7.93,4.0,2.47,0.0,0.0,,,,,,,,,,,,,,,,,,,11,2020,,
Pedro (ATA),Flamengo,3.25,8.0,2.45,0.0,0.0,3.0,2.0,,,2.0,4.0,4.0,,,,,,1.0,,,8.0,3.0,9.0,11,2020,,
Ernando (ZAG),Bahia,5.73,7.0,2.43,0.0,0.0,4.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,27.0,11,2020,,
Gabriel Dias (LAT),Fortaleza,5.76,9.0,2.42,0.0,0.0,9.0,,1.0,3.0,7.0,1.0,,,,,,1.0,,,,7.0,1.0,25.0,11,2020,,
Dudu (LAT),Atlético-GO,3.93,9.0,2.4,1.9,-0.73,23.0,,,2.0,8.0,2.0,1.0,,,,,1.0,,,,11.0,,77.0,11,2020,,
Lucas Veríssimo (ZAG),Santos,8.29,9.0,2.4,5.4,0.7,18.0,1.0,,2.0,2.0,3.0,2.0,,,,,,4.0,,,14.0,,52.0,11,2020,,
Luan Peres (ZAG),Santos,6.66,10.0,2.4,7.3,1.59,12.0,,1.0,3.0,5.0,2.0,,,,,,1.0,1.0,,,2.0,,41.0,11,2020,,
Léo (LAT),São Paulo,4.61,7.0,2.37,0.0,0.0,9.0,,1.0,1.0,11.0,1.0,,,,,,,1.0,,,5.0,,42.0,11,2020,,
Janderson (ATA),Atlético-GO,5.27,7.0,2.36,8.7,1.22,8.0,,1.0,,6.0,3.0,3.0,,,,,,,,,5.0,,30.0,11,2020,,
Thiago Larghi (TEC),Goiás,5.07,4.0,2.36,0.0,0.0,,,,,,,,,,,,,,,,,,,11,2020,,
Gabriel Sara (MEI),São Paulo,5.79,9.0,2.35,0.0,0.0,8.0,2.0,,,7.0,4.0,2.0,,,,,,1.0,,,9.0,3.0,39.0,11,2020,,
Osvaldo (ATA),Fortaleza,5.67,11.0,2.34,2.3,-0.96,12.0,1.0,1.0,,8.0,5.0,3.0,1.0,,,,,2.0,,,6.0,2.0,59.0,11,2020,,
Matheus Sales (MEI),Coritiba,4.29,7.0,2.31,2.7,-0.22,15.0,,,,13.0,1.0,,,,,,,,,,8.0,,21.0,11,2020,,
Léo Pereira (ZAG),Flamengo,5.24,7.0,2.21,0.0,0.0,12.0,,,1.0,6.0,1.0,2.0,,,,,,,,,9.0,,32.0,11,2020,,
Natanael (LAT),Coritiba,2.47,5.0,2.2,8.0,1.36,7.0,,,1.0,5.0,1.0,,,,,,,,,,5.0,,18.0,11,2020,,
Tchê Tchê (MEI),São Paulo,8.18,9.0,2.19,0.0,0.0,14.0,,,,14.0,6.0,4.0,,,,,,2.0,,,8.0,,29.0,11,2020,,
Igor Vinícius (LAT),São Paulo,5.56,7.0,2.17,0.0,0.0,15.0,,1.0,1.0,6.0,4.0,3.0,,,,,,3.0,,,19.0,,41.0,11,2020,,
Miranda (ZAG),Vasco,3.7,7.0,2.17,2.5,0.37,8.0,,,2.0,8.0,,,,,,,,1.0,,,3.0,,33.0,11,2020,,
Luiz Otávio (ZAG),Ceará,3.86,9.0,2.13,-2.2,-2.91,12.0,1.0,,3.0,1.0,1.0,,,,,,,4.0,,,12.0,,31.0,11,2020,,
Breno (MEI),Goiás,3.98,6.0,2.13,0.0,0.0,15.0,,,,6.0,3.0,,,,,,,1.0,,,9.0,,11.0,11,2020,,
Thiago Maia (MEI),Flamengo,6.16,5.0,2.04,0.0,0.0,14.0,,,,2.0,,1.0,,,,,,,,,7.0,,25.0,11,2020,,
Paulão (ZAG),Fortaleza,3.64,11.0,2.02,6.9,1.41,16.0,,,4.0,1.0,1.0,,,,,,,2.0,,,14.0,2.0,31.0,11,2020,,
Edenílson (MEI),Internacional,7.62,10.0,2.01,0.0,-0.53,13.0,1.0,1.0,,12.0,4.0,4.0,,,,,,2.0,,,16.0,2.0,69.0,11,2020,,
Leandro Carvalho (ATA),Ceará,5.9,8.0,1.99,4.8,0.63,13.0,,1.0,,14.0,5.0,3.0,,,,,1.0,2.0,,,6.0,1.0,42.0,11,2020,,
Willian Arão (MEI),Flamengo,8.7,10.0,1.98,0.0,0.0,23.0,,,,5.0,5.0,1.0,,,,,,1.0,,,10.0,,39.0,11,2020,,
Gerson (MEI),Flamengo,9.07,7.0,1.98,0.0,0.0,17.0,,,,22.0,4.0,,,,,,,3.0,,,18.0,,23.0,11,2020,,
Fábio Sanches (ZAG),Goiás,5.74,7.0,1.97,0.0,0.0,9.0,,,2.0,5.0,2.0,1.0,,,,1.0,,1.0,,,3.0,,20.0,11,2020,,
Honda (MEI),Botafogo,4.88,7.0,1.96,0.5,0.05,16.0,,,,2.0,4.0,1.0,,,,,,,,,8.0,,37.0,11,2020,,
Felipe Alves (GOL),Fortaleza,3.75,11.0,1.93,4.0,0.52,2.0,,,4.0,3.0,,,,7.0,,,,,,9.0,,,123.0,11,2020,,
Pedro Henrique (ZAG),Athlético-PR,4.63,4.0,1.92,0.0,0.0,7.0,,,1.0,1.0,,,,,,,,1.0,,,2.0,,18.0,11,2020,,
Juninho (MEI),Fortaleza,2.45,10.0,1.88,-3.9,-2.24,18.0,1.0,1.0,,13.0,8.0,1.0,,,,,,4.0,,,19.0,,89.0,11,2020,,
Keko (ATA),Goiás,2.29,5.0,1.88,0.0,0.0,5.0,,1.0,,5.0,,,1.0,,,,,,,,5.0,2.0,26.0,11,2020,,
Thiago Heleno (ZAG),Athlético-PR,6.37,5.0,1.86,0.0,0.0,8.0,,,1.0,6.0,3.0,,,,,,,2.0,,,6.0,,21.0,11,2020,,
Carlos Sánchez (MEI),Santos,6.29,11.0,1.84,4.2,-0.14,15.0,,1.0,,18.0,7.0,6.0,,,,,,1.0,1.0,,11.0,1.0,95.0,11,2020,,
Diego Souza (ATA),Grêmio,8.67,8.0,1.82,0.4,-1.66,5.0,2.0,,,9.0,8.0,2.0,,,,,,2.0,1.0,,12.0,1.0,53.0,11,2020,,
Luccas Claro (ZAG),Fluminense,5.33,10.0,1.77,-0.6,-0.45,16.0,,,1.0,7.0,2.0,,,,,,,,,,4.0,2.0,55.0,11,2020,,
Wellington Silva (ATA),Fluminense,3.24,9.0,1.71,-0.2,-0.59,7.0,1.0,,,19.0,3.0,,,,,,,3.0,,,6.0,1.0,20.0,11,2020,,
Caio Alexandre (MEI),Botafogo,4.49,9.0,1.66,-1.5,-0.38,15.0,1.0,,,16.0,3.0,,,,,,,4.0,,,12.0,1.0,40.0,11,2020,,
Diego (ZAG),São Paulo,2.69,6.0,1.65,0.0,0.0,12.0,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,12.0,,24.0,11,2020,,
Rentería (MEI),Botafogo,5.63,3.0,1.63,0.7,-0.65,6.0,,,,2.0,,1.0,,,,,,,,,5.0,,8.0,11,2020,,
Rodrigo Lindoso (MEI),Internacional,4.8,8.0,1.62,2.5,0.15,17.0,,1.0,,1.0,,1.0,,,,,,,,,16.0,,27.0,11,2020,,
Quintero (ZAG),Fortaleza,2.72,9.0,1.6,4.9,1.04,5.0,,,4.0,3.0,2.0,,,,,,1.0,2.0,,,6.0,,17.0,11,2020,,
Allan (MEI),Atlético-MG,6.37,10.0,1.57,0.0,-0.93,22.0,,,,6.0,6.0,1.0,,,,,,1.0,,,14.0,,63.0,11,2020,,
Lucas Silva (MEI),Grêmio,5.06,9.0,1.55,1.9,0.12,14.0,,,,15.0,4.0,1.0,,,,,,2.0,,,10.0,,29.0,11,2020,,
Ronaldo (MEI),Bahia,3.29,7.0,1.5,0.0,0.0,17.0,,1.0,,6.0,2.0,,,,,,,3.0,,,16.0,,21.0,11,2020,,
Muriel (GOL),Fluminense,4.17,8.0,1.5,1.7,0.05,,,,1.0,,,,,8.0,,,,,,9.0,,,70.0,11,2020,,
João Victor (ZAG),Atlético-GO,2.29,6.0,1.47,1.9,-0.4,12.0,,,1.0,3.0,,,,,,,,2.0,,,7.0,,22.0,11,2020,,
Yago Felipe (MEI),Fluminense,3.43,8.0,1.44,2.1,0.06,7.0,,,,12.0,4.0,2.0,,,,,,,,,8.0,1.0,25.0,11,2020,,
Matheus Bueno (MEI),Coritiba,2.75,10.0,1.43,5.3,0.56,16.0,,,,11.0,1.0,2.0,,,,,,1.0,,,10.0,,34.0,11,2020,,
Santos (GOL),Athlético-PR,6.8,8.0,1.3,0.0,0.0,,,,1.0,,,,,7.0,,,,,,9.0,,,46.0,11,2020,,
Edimar (LAT),Bragantino,3.95,9.0,1.23,0.0,0.0,23.0,,,,7.0,9.0,1.0,,,,,,3.0,,,12.0,1.0,113.0,11,2020,,
Ligger (ZAG),Bragantino,3.66,5.0,1.22,5.0,0.88,3.0,,1.0,,2.0,,1.0,,,,,,,,,7.0,,6.0,11,2020,,
César (GOL),Flamengo,3.38,4.0,1.2,0.0,0.0,,,,2.0,,,,,,,,,,,2.0,,,12.0,11,2020,,
Luiz Henrique (ATA),Fluminense,2.01,9.0,1.17,2.7,0.39,9.0,,,,2.0,6.0,1.0,,,,,,,,,5.0,2.0,19.0,11,2020,,
Hugo Moura (MEI),Coritiba,2.88,5.0,1.16,3.0,0.32,7.0,,,,7.0,2.0,,,,,,,1.0,,,5.0,,18.0,11,2020,,
Zé Gabriel (MEI),Internacional,2.64,8.0,1.15,2.8,0.33,15.0,,,,7.0,1.0,,,,,,,1.0,,,10.0,,31.0,11,2020,,
Abel Hernández (ATA),Internacional,6.53,4.0,1.15,0.2,-0.75,3.0,,,,,3.0,1.0,,,,,,,,,3.0,,5.0,11,2020,,
Hyuri (ATA),Atlético-GO,5.53,9.0,1.13,0.0,0.0,7.0,1.0,,,3.0,3.0,1.0,,,,,,1.0,,,11.0,3.0,9.0,11,2020,,
Rony (ATA),Palmeiras,9.43,8.0,1.13,1.9,-0.09,10.0,,,,17.0,3.0,3.0,,,,,,1.0,,,18.0,3.0,30.0,11,2020,,
Everson (GOL),Atlético-MG,8.97,2.0,1.1,4.6,0.97,,,,,,,,,3.0,,,,,,4.0,,,18.0,11,2020,,
Rafael Moura (ATA),Goiás,5.23,4.0,1.05,0.0,0.0,1.0,1.0,,,5.0,3.0,1.0,,,,,,,,,14.0,3.0,24.0,11,2020,,
Tadeu (GOL),Goiás,8.78,6.0,1.0,0.0,0.0,,,,2.0,1.0,,,,5.0,,,,,,10.0,,,45.0,11,2020,,
Bruno Gomes (MEI),Vasco,3.32,7.0,0.91,1.7,0.65,12.0,,,,14.0,1.0,,,,,,1.0,1.0,,,8.0,,24.0,11,2020,,
Éder (ZAG),Atlético-GO,3.21,10.0,0.9,-1.6,-1.16,5.0,,,2.0,8.0,,1.0,,,,,,1.0,,,9.0,,46.0,11,2020,,
Mano Menezes (TEC),Bahia,6.6,1.0,0.77,0.0,0.0,,,,,,,,,,,,,,,,,,,11,2020,,
Jadson (MEI),Bahia,2.82,4.0,0.75,0.0,0.0,1.0,,,,5.0,2.0,,,,,,,,,,3.0,,6.0,11,2020,,
Edílson (LAT),Goiás,6.36,2.0,0.65,0.0,0.0,1.0,,,1.0,,1.0,,,,,,,2.0,,,1.0,,10.0,11,2020,,
David (ATA),Fortaleza,2.85,11.0,0.62,0.1,-0.09,12.0,,1.0,,12.0,8.0,,,,,,,2.0,,,25.0,5.0,37.0,11,2020,,
Sarrafiore (MEI),Coritiba,1.95,3.0,0.57,-2.3,-1.0,1.0,,,,4.0,4.0,1.0,,,,,,1.0,,,4.0,,17.0,11,2020,,
Nino (ZAG),Fluminense,3.84,9.0,0.51,2.3,0.11,10.0,,,,11.0,2.0,,,,,,,2.0,,,9.0,,40.0,11,2020,,
Marcelo Lomba (GOL),Internacional,8.27,11.0,0.25,-2.8,-0.64,,,,6.0,,,,,,,,,1.0,,7.0,,,113.0,11,2020,,
Igor Gomes (MEI),São Paulo,3.17,9.0,0.24,0.0,0.0,6.0,,,,9.0,,2.0,,,,,,1.0,,,12.0,,28.0,11,2020,,
Sandro (MEI),Goiás,3.12,5.0,0.14,0.0,0.0,11.0,,,,3.0,,,,,,,,2.0,,,12.0,1.0,13.0,11,2020,,
Gregore (MEI),Bahia,5.69,6.0,0.13,0.0,0.0,21.0,,,,2.0,3.0,,,,,,1.0,4.0,,,16.0,,26.0,11,2020,,
Márcio Azevedo (LAT),Athlético-PR,3.41,4.0,-0.12,0.0,0.0,4.0,,,1.0,2.0,,,,,,,,1.0,,,9.0,1.0,35.0,11,2020,,
Rodolfo Filemon (ZAG),Coritiba,1.44,8.0,-0.13,5.9,0.67,4.0,,,3.0,2.0,,1.0,,,,,1.0,4.0,,,11.0,,37.0,11,2020,,
Matheus Henrique (MEI),Grêmio,5.78,7.0,-0.15,0.9,0.46,10.0,,,,14.0,1.0,,,,,,1.0,2.0,,,11.0,,43.0,11,2020,,
Weverton (GOL),Palmeiras,6.7,9.0,-0.44,-3.2,-0.39,,,,2.0,,,,,2.0,,,,,,8.0,,,59.0,11,2020,,
Thuler (ZAG),Flamengo,2.37,2.0,-0.6,0.0,0.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,11,2020,,
Felipe Melo (ZAG),Palmeiras,5.93,1.0,-0.8,-0.8,-2.07,2.0,,,,,,,,,,,,1.0,,,1.0,,3.0,11,2020,,
Christian (MEI),Athlético-PR,0.77,5.0,-1.18,0.0,0.0,3.0,,,,5.0,,,,,,,,2.0,,,10.0,1.0,19.0,11,2020,,
Wellington (MEI),Athlético-PR,1.02,6.0,-1.57,0.0,0.0,6.0,,,,4.0,1.0,1.0,,,,,,4.0,,,18.0,,24.0,11,2020,,
Danilo Barcelos (LAT),Fluminense,2.17,4.0,-2.0,0.0,0.0,5.0,,,,,1.0,2.0,,,,,1.0,1.0,,,9.0,,47.0,11,2020,,
Victor Ferraz (LAT),Grêmio,6.17,1.0,-3.3,-3.3,-2.83,,,,,,1.0,,,,,,,1.0,,,2.0,,11.0,11,2020,,
Marinho (ATA),Santos,24.72,12.0,10.75,9.7,1.46,15.0,7.0,4.0,,62.0,17.0,10.0,,,,,,1.0,,,14.0,7.0,63.0,12,2020,,
Thiago Galhardo (MEI),Internacional,18.59,11.0,9.38,9.9,1.74,11.0,9.0,3.0,,20.0,7.0,2.0,,,,,,,,,11.0,5.0,49.0,12,2020,,
Matheus Ferraz (ZAG),Fluminense,6.58,1.0,9.2,9.2,0.58,,,1.0,1.0,,,,,,,,,,,,1.0,,3.0,12,2020,,
Saravia (LAT),Internacional,18.78,8.0,7.96,0.0,0.0,37.0,,1.0,5.0,15.0,2.0,1.0,,,,,,1.0,,,12.0,,56.0,12,2020,,
Victor Luis (LAT),Botafogo,11.6,6.0,7.47,13.5,2.23,22.0,2.0,,2.0,3.0,1.0,2.0,,,,,,,,,4.0,,59.0,12,2020,,
Raul (MEI),Bragantino,7.93,4.0,6.98,5.8,0.38,22.0,1.0,,,5.0,,,,,,,,,,,4.0,,26.0,12,2020,,
Gabriel (ATA),Flamengo,13.46,9.0,6.96,0.0,0.0,4.0,5.0,,,10.0,15.0,11.0,1.0,,,,,2.0,,,3.0,7.0,55.0,12,2020,,
Keno (ATA),Atlético-MG,15.9,11.0,6.69,29.2,2.32,11.0,6.0,1.0,,10.0,9.0,8.0,3.0,,,,,1.0,,,13.0,9.0,82.0,12,2020,,
Alerrandro (ATA),Bragantino,11.44,10.0,6.59,2.1,-2.04,4.0,5.0,2.0,,11.0,8.0,5.0,2.0,,,,,,1.0,,6.0,4.0,30.0,12,2020,,
David Duarte (ZAG),Goiás,5.69,4.0,6.5,11.4,1.22,8.0,1.0,,1.0,3.0,3.0,2.0,,,,,,,,,,,13.0,12,2020,,
Arrascaeta (MEI),Flamengo,18.54,8.0,6.42,0.0,0.0,16.0,3.0,1.0,,8.0,6.0,6.0,1.0,,,,,,,,8.0,,86.0,12,2020,,
Pepê (ATA),Grêmio,12.36,7.0,6.34,2.2,-1.5,10.0,2.0,1.0,,13.0,6.0,6.0,,,,,,,,,3.0,1.0,31.0,12,2020,,
Nenê (MEI),Fluminense,13.51,10.0,6.26,5.2,-1.51,9.0,5.0,1.0,,21.0,13.0,4.0,,,,,,2.0,,,5.0,,106.0,12,2020,,
Vinícius (MEI),Ceará,10.0,9.0,6.26,7.9,0.45,5.0,4.0,2.0,,5.0,12.0,8.0,1.0,,,,,1.0,,,7.0,3.0,84.0,12,2020,,
Cano (ATA),Vasco,13.49,11.0,6.16,2.8,0.2,4.0,7.0,,,6.0,4.0,7.0,1.0,,,,,,,,10.0,5.0,22.0,12,2020,,
Alisson (MEI),Grêmio,11.83,10.0,6.07,0.0,0.0,16.0,1.0,3.0,,24.0,12.0,11.0,1.0,,,,,1.0,,,8.0,2.0,91.0,12,2020,,
João Paulo (GOL),Santos,7.82,10.0,5.87,-2.2,-1.1,,,,3.0,2.0,,,,17.0,,,,,,10.0,,,52.0,12,2020,,
Gatito Fernández (GOL),Botafogo,14.9,8.0,5.6,0.0,0.0,,,,3.0,,,,,13.0,,,,1.0,,7.0,,,62.0,12,2020,,
Luciano (ATA),São Paulo,9.22,9.0,5.58,7.9,1.49,15.0,4.0,1.0,,15.0,2.0,2.0,1.0,,,,,2.0,,,15.0,1.0,42.0,12,2020,,
Vinícius (ATA),Goiás,3.83,6.0,5.57,0.4,-1.95,10.0,2.0,,,15.0,4.0,4.0,,,,,,1.0,,,10.0,,11.0,12,2020,,
Guga (LAT),Atlético-MG,13.63,9.0,5.47,5.0,1.02,23.0,,1.0,4.0,13.0,3.0,2.0,1.0,,,,,1.0,,,9.0,,65.0,12,2020,,
Fernando Sobral (MEI),Ceará,13.41,12.0,5.47,7.5,1.12,41.0,,3.0,,30.0,8.0,8.0,1.0,,,,,2.0,,,22.0,5.0,69.0,12,2020,,
Felipe Jonatan (LAT),Santos,11.3,11.0,5.25,-0.3,-0.91,35.0,2.0,,3.0,14.0,7.0,2.0,,,,,,4.0,,,14.0,,82.0,12,2020,,
Nathan (MEI),Atlético-MG,9.69,5.0,5.2,1.3,-1.2,8.0,2.0,,,3.0,1.0,3.0,,,,,,,,,3.0,2.0,14.0,12,2020,,
Raphael Veiga (MEI),Palmeiras,8.85,4.0,5.18,0.0,0.0,4.0,2.0,,,6.0,3.0,,,,,,,,,,6.0,,17.0,12,2020,,
Jorge Sampaoli (TEC),Atlético-MG,14.27,11.0,4.83,5.19,0.37,,,,,,,,,,,,,,,,,,,12,2020,,
Robson (ATA),Coritiba,8.88,12.0,4.83,5.1,-0.58,13.0,3.0,,,27.0,15.0,3.0,4.0,,,,,1.0,,,18.0,8.0,51.0,12,2020,,
Daniel Alves (MEI),São Paulo,12.27,5.0,4.82,0.7,-1.72,14.0,1.0,,,14.0,5.0,2.0,,,,,,,,,8.0,2.0,63.0,12,2020,,
Edson (MEI),Atlético-GO,9.47,11.0,4.75,5.4,0.82,39.0,1.0,1.0,,27.0,4.0,2.0,,,,,,2.0,,,24.0,,27.0,12,2020,,
Talles Magno (ATA),Vasco,10.18,10.0,4.71,0.7,-0.51,20.0,1.0,2.0,,31.0,7.0,3.0,1.0,,,,1.0,1.0,,,10.0,3.0,50.0,12,2020,,
Leandro Castan (ZAG),Vasco,13.66,7.0,4.69,1.3,-0.81,18.0,,,3.0,9.0,,,,,,,,,,,5.0,,22.0,12,2020,,
Rodriguinho (MEI),Bahia,14.89,10.0,4.68,1.6,-0.36,3.0,3.0,1.0,,23.0,7.0,5.0,1.0,,,,,,,,7.0,2.0,68.0,12,2020,,
Lucas Evangelista (MEI),Bragantino,7.17,8.0,4.6,16.0,2.16,17.0,2.0,,,13.0,4.0,2.0,1.0,,,,,2.0,,,10.0,,23.0,12,2020,,
Matheus Babi (ATA),Botafogo,7.9,11.0,4.58,0.8,-0.08,16.0,3.0,1.0,,31.0,7.0,4.0,1.0,,,,,2.0,,,24.0,5.0,50.0,12,2020,,
Abner Vinícius (LAT),Athlético-PR,11.25,9.0,4.5,12.3,1.3,15.0,1.0,1.0,3.0,5.0,4.0,3.0,,,,,,,,,10.0,,68.0,12,2020,,
Reinaldo (LAT),São Paulo,12.92,8.0,4.43,1.8,-0.39,22.0,1.0,1.0,2.0,8.0,3.0,4.0,,,,,,2.0,,,14.0,,98.0,12,2020,,
Sabino (ZAG),Coritiba,7.68,12.0,4.29,1.8,-0.47,17.0,3.0,,3.0,11.0,2.0,,1.0,,,1.0,,,,,4.0,1.0,71.0,12,2020,,
Viña (LAT),Palmeiras,8.06,7.0,4.29,0.0,0.0,23.0,,1.0,1.0,8.0,3.0,1.0,,,,,,1.0,,,5.0,1.0,56.0,12,2020,,
Ramon Menezes (TEC),Vasco,10.06,11.0,4.28,2.95,0.47,,,,,,,,,,,,,,,,,,,12,2020,,
Kannemann (ZAG),Grêmio,11.23,6.0,4.28,0.0,0.0,20.0,,,3.0,9.0,1.0,2.0,,,,,,3.0,,,18.0,,20.0,12,2020,,
Dodi (MEI),Fluminense,11.19,11.0,4.26,4.1,0.54,38.0,1.0,,,16.0,4.0,4.0,,,,,,2.0,,,15.0,,36.0,12,2020,,
Guilherme Arana (LAT),Atlético-MG,15.35,11.0,4.22,-1.7,-0.23,20.0,,2.0,4.0,5.0,9.0,6.0,,,,,,1.0,,,14.0,1.0,111.0,12,2020,,
Luiz Adriano (ATA),Palmeiras,10.8,9.0,4.21,0.0,0.0,5.0,4.0,,,11.0,5.0,1.0,,,,,,1.0,,,12.0,,18.0,12,2020,,
Claudinho (ATA),Bragantino,12.83,11.0,4.21,1.0,0.36,20.0,3.0,1.0,,17.0,7.0,7.0,,,,,,2.0,1.0,,13.0,1.0,102.0,12,2020,,
Cuca (TEC),Santos,10.94,12.0,4.2,3.06,-0.13,,,,,,,,,,,,,,,,,,,12,2020,,
Douglas Friedrich (GOL),Bahia,9.74,5.0,4.18,5.5,0.62,,,,1.0,2.0,,,,6.0,,,,,,3.0,,,31.0,12,2020,,
Boschilia (MEI),Internacional,8.68,11.0,4.12,4.9,1.56,36.0,1.0,1.0,,13.0,4.0,8.0,,,,,,2.0,,,21.0,,85.0,12,2020,,
Erick (MEI),Athlético-PR,4.88,5.0,4.02,3.2,0.32,16.0,,1.0,,1.0,3.0,3.0,,,,,,1.0,,,8.0,,14.0,12,2020,,
Fernando Prass (GOL),Ceará,7.67,12.0,4.02,11.7,2.58,,,,4.0,,,,,19.0,,,,1.0,,18.0,,,98.0,12,2020,,
Benítez (MEI),Vasco,8.69,8.0,3.99,0.0,0.0,28.0,,1.0,,16.0,5.0,2.0,,,,,,2.0,,,8.0,1.0,70.0,12,2020,,
Júnior Alonso (ZAG),Atlético-MG,11.17,11.0,3.98,2.5,0.37,28.0,,1.0,4.0,1.0,4.0,2.0,1.0,,,,,2.0,,,15.0,,68.0,12,2020,,
Élber (ATA),Bahia,8.9,10.0,3.93,-0.4,-0.53,10.0,1.0,1.0,,26.0,5.0,6.0,1.0,,,,,,,,5.0,4.0,65.0,12,2020,,
Patric (LAT),Sport,9.52,11.0,3.91,0.0,0.0,23.0,1.0,2.0,1.0,12.0,6.0,2.0,1.0,,,,,,,,15.0,3.0,101.0,12,2020,,
Moisés (LAT),Internacional,11.39,11.0,3.86,4.5,0.91,25.0,,2.0,6.0,2.0,5.0,1.0,,,,,,1.0,,,28.0,2.0,117.0,12,2020,,
Eduardo Coudet (TEC),Internacional,12.27,12.0,3.85,2.84,0.46,,,,,,,,,,,,,,,,,,,12,2020,,
Fernando Miguel (GOL),Vasco,10.41,11.0,3.85,8.8,2.19,,,,4.0,2.0,,,,11.0,1.0,,,,,11.0,,,76.0,12,2020,,
Michel Araújo (MEI),Fluminense,8.38,11.0,3.85,11.0,1.92,22.0,1.0,,,40.0,7.0,4.0,,,,,,2.0,,,17.0,1.0,49.0,12,2020,,
Patrick de Paula (MEI),Palmeiras,5.55,8.0,3.84,0.0,0.0,20.0,1.0,,,12.0,3.0,1.0,1.0,,,,,,,,12.0,,39.0,12,2020,,
Bruno Pacheco (LAT),Ceará,8.81,10.0,3.81,7.6,0.8,22.0,,2.0,4.0,14.0,,,,,,,1.0,,,,16.0,,79.0,12,2020,,
Bruno Cortez (LAT),Grêmio,10.4,9.0,3.79,0.0,0.0,22.0,,,4.0,10.0,1.0,,,,,,,1.0,,,10.0,1.0,62.0,12,2020,,
Guto Ferreira (TEC),Ceará,8.85,12.0,3.77,4.43,0.41,,,,,,,,,,,,,,,,,,,12,2020,,
Andrey (MEI),Vasco,6.48,7.0,3.73,0.0,0.0,24.0,,2.0,,16.0,2.0,1.0,,,,,,3.0,,,19.0,,32.0,12,2020,,
Orejuela (LAT),Grêmio,8.44,9.0,3.73,0.0,0.0,18.0,,,4.0,12.0,5.0,3.0,1.0,,,,,1.0,,,16.0,1.0,105.0,12,2020,,
