colocação,jogador,escalações,rodada,ano
19.0,Viña (PAL),485221.0,17,2020
20.0,Brenner (SAO),482648.0,17,2020
1.0,Keno (ATL),2863822.0,18,2020
2.0,Thiago Galhardo (INT),2020920.0,18,2020
3.0,Pedro (FLA),1691175.0,18,2020
4.0,Vinícius (CEA),1608068.0,18,2020
5.0,Guilherme Arana (ATL),1417095.0,18,2020
6.0,Marinho (SAN),1265263.0,18,2020
7.0,Pepê (GRE),1158719.0,18,2020
8.0,Júnior Alonso (ATL),1100630.0,18,2020
9.0,Viña (PAL),1081222.0,18,2020
10.0,Fernando Prass (CEA),1007917.0,18,2020
11.0,Maurício Barbieri (BGT),973859.0,18,2020
12.0,Réver (ATL),966648.0,18,2020
13.0,Everton Ribeiro (FLA),963068.0,18,2020
14.0,Léo Ortiz (BGT),960455.0,18,2020
15.0,Claudinho (BGT),871361.0,18,2020
16.0,Jorge Sampaoli (ATL),853637.0,18,2020
17.0,Fernando Sobral (CEA),737451.0,18,2020
18.0,Bruno Pacheco (CEA),629515.0,18,2020
19.0,Savarino (ATL),620956.0,18,2020
20.0,Nenê (FLU),599118.0,18,2020
1.0,Pedro (FLA),2663374.0,19,2020
2.0,Thiago Galhardo (INT),2651047.0,19,2020
3.0,Marinho (SAN),2495874.0,19,2020
4.0,Everton Ribeiro (FLA),2098569.0,19,2020
5.0,Bruno Henrique (FLA),1403410.0,19,2020
6.0,David Braz (GRE),1287762.0,19,2020
7.0,Felipe Jonatan (SAN),1201913.0,19,2020
8.0,Hugo Souza (FLA),1128916.0,19,2020
9.0,Vinícius (CEA),1083188.0,19,2020
10.0,Giovanni Augusto (CFC),975363.0,19,2020
11.0,Sabino (CFC),949939.0,19,2020
12.0,Natan (FLA),826276.0,19,2020
13.0,Lucas Veríssimo (SAN),735883.0,19,2020
14.0,Domènec Torrent (FLA),683831.0,19,2020
15.0,Filipe Luís (FLA),631818.0,19,2020
16.0,Enderson Moreira (GOI),559907.0,19,2020
17.0,Heitor (INT),552988.0,19,2020
18.0,Víctor Cuesta (INT),547758.0,19,2020
19.0,Tadeu (GOI),539758.0,19,2020
20.0,Victor Luis (BOT),478376.0,19,2020
1.0,Patrick (INT),2133593.0,20,2020
2.0,Pedro (FLA),1943178.0,20,2020
3.0,Brenner (SAO),1763896.0,20,2020
4.0,Víctor Cuesta (INT),1614627.0,20,2020
5.0,Reinaldo (SAO),1494910.0,20,2020
6.0,Everton Ribeiro (FLA),1309347.0,20,2020
7.0,Luciano (SAO),1181678.0,20,2020
8.0,Vina (CEA),1181512.0,20,2020
9.0,Keno (ATL),1111542.0,20,2020
10.0,Eduardo Coudet (INT),1027299.0,20,2020
11.0,Bruno Alves (SAO),1009460.0,20,2020
12.0,Heitor (INT),905044.0,20,2020
13.0,Gilberto (BAH),771711.0,20,2020
14.0,Fernando Sobral (CEA),746564.0,20,2020
15.0,Fernando Diniz (SAO),686437.0,20,2020
16.0,Raphael Veiga (PAL),670719.0,20,2020
17.0,Luiz Adriano (PAL),651095.0,20,2020
18.0,Fernando Prass (CEA),637747.0,20,2020
19.0,Abel Hernández (INT),597981.0,20,2020
20.0,Bruno Henrique (FLA),579687.0,20,2020
1.0,Gabriel (FLA),2470206.0,21,2020
2.0,Thiago Galhardo (INT),1820788.0,21,2020
3.0,David Braz (GRE),1549748.0,21,2020
4.0,Rogério Ceni (FLA),1525599.0,21,2020
5.0,Pepê (GRE),1336241.0,21,2020
6.0,Arrascaeta (FLA),1285093.0,21,2020
7.0,Raphael Veiga (PAL),1265727.0,21,2020
8.0,Marinho (SAN),1227959.0,21,2020
9.0,Diogo Barbosa (GRE),850352.0,21,2020
10.0,Bruno Henrique (FLA),827730.0,21,2020
11.0,Brenner (SAO),814865.0,21,2020
12.0,Giovanni Augusto (CFC),811531.0,21,2020
13.0,Matheuzinho (FLA),765990.0,21,2020
14.0,Léo Pereira (FLA),750728.0,21,2020
15.0,Keno (ATL),743527.0,21,2020
16.0,Sabino (CFC),644549.0,21,2020
17.0,Gerson (FLA),633003.0,21,2020
18.0,Renê (FLA),579591.0,21,2020
19.0,Victor Luis (BOT),578766.0,21,2020
20.0,Iago Maidana (SPO),547972.0,21,2020
1.0,Brenner (SAO),2158312.0,22,2020
2.0,Arrascaeta (FLA),1906399.0,22,2020
3.0,Bruno Henrique (FLA),1867956.0,22,2020
4.0,Keno (ATL),1306121.0,22,2020
5.0,Reinaldo (SAO),1294662.0,22,2020
6.0,Vina (CEA),1274117.0,22,2020
7.0,Rogério Ceni (FLA),1207556.0,22,2020
8.0,Luciano (SAO),1038117.0,22,2020
9.0,Gustavo Gómez (PAL),1033345.0,22,2020
10.0,Everton Ribeiro (FLA),977539.0,22,2020
11.0,Isla (FLA),715575.0,22,2020
12.0,Víctor Cuesta (INT),706747.0,22,2020
13.0,Bruno Alves (SAO),702043.0,22,2020
14.0,Fernando Diniz (SAO),650457.0,22,2020
15.0,Marcos Rocha (PAL),636780.0,22,2020
16.0,Gabriel Sara (SAO),630807.0,22,2020
17.0,Tiago Volpi (SAO),628540.0,22,2020
18.0,Luiz Adriano (PAL),620068.0,22,2020
19.0,Patrick (INT),616360.0,22,2020
20.0,Iago Maidana (SPO),571103.0,22,2020
1.0,Luciano (SAO),1659046.0,24,2020
2.0,Arrascaeta (FLA),1515432.0,24,2020
3.0,Pedro Geromel (GRE),1428100.0,24,2020
4.0,Pepê (GRE),1247779.0,24,2020
5.0,Brenner (SAO),1213926.0,24,2020
6.0,Reinaldo (SAO),1197404.0,24,2020
7.0,Everton Ribeiro (FLA),1143369.0,24,2020
8.0,Vina (CEA),1119607.0,24,2020
